[Kavita] [2026-02-13 14:04:37.080 +01:00  1] [Information] NeoSmart.Caching.Sqlite.SqliteCache Initializing db cache: Data Source=config/cache.db;Mode=ReadWriteCreate;Cache=Shared
[Kavita] [2026-02-13 14:04:37.285 +01:00  1] [Information] API.Services.TaskScheduler Scheduling reoccurring tasks
[Kavita] [2026-02-13 14:04:37.327 +01:00  1] [Debug] API.Services.TaskScheduler Scheduling Scan Library Task for daily
[Kavita] [2026-02-13 14:04:37.744 +01:00  1] [Debug] API.Services.TaskScheduler Scheduling Backup Task for daily
[Kavita] [2026-02-13 14:04:37.778 +01:00  1] [Debug] API.Services.TaskScheduler Scheduling Cleanup Task for daily
[Kavita] [2026-02-13 14:04:37.805 +01:00  1] [Information] API.Services.TaskScheduler Scheduling Auto-Update tasks
[Kavita] [2026-02-13 14:04:37.958 +01:00  1] [Debug] API.Services.TaskScheduler Scheduling stat collection daily at 8:00
[Kavita] [2026-02-13 14:04:37.989 +01:00  1] [Information] API.Services.HostedServices.ReadingSessionInitializer Closing any orphaned reading sessions from previous run
[Kavita] [2026-02-13 14:04:38.077 +01:00  1] [Information] API.Services.HostedServices.ReadingSessionInitializer Closed 0 orphaned reading sessions
[Kavita] [2026-02-13 14:04:38.249 +01:00  7] [Information] API.Program Running Migrations
[Kavita] [2026-02-13 14:04:38.362 +01:00  7] [Fatal] API.Program Running MigrateUserLibrarySideNavStream migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:38.424 +01:00  7] [Fatal] API.Program Running MigrateUserLibrarySideNavStream migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:38.442 +01:00  7] [Fatal] API.Program Running MigrateSmartFilterEncoding migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:38.480 +01:00  7] [Fatal] API.Program Running MigrateSmartFilterEncoding migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:38.502 +01:00  7] [Fatal] API.Program Running MigrateLibrariesToHaveAllFileTypes migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:38.680 +01:00  7] [Fatal] API.Program Running MigrateLibrariesToHaveAllFileTypes migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:38.688 +01:00  7] [Fatal] API.Program Running MigrateEmailTemplates migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:39.752 +01:00  13] [Information] API.Program /kavita/config/templates/EmailChange.html downloaded and written successfully
[Kavita] [2026-02-13 14:04:39.914 +01:00  13] [Information] API.Program /kavita/config/templates/EmailConfirm.html downloaded and written successfully
[Kavita] [2026-02-13 14:04:40.063 +01:00  13] [Information] API.Program /kavita/config/templates/EmailPasswordReset.html downloaded and written successfully
[Kavita] [2026-02-13 14:04:40.213 +01:00  6] [Information] API.Program /kavita/config/templates/SendToDevice.html downloaded and written successfully
[Kavita] [2026-02-13 14:04:40.333 +01:00  6] [Information] API.Program /kavita/config/templates/EmailTest.html downloaded and written successfully
[Kavita] [2026-02-13 14:04:40.334 +01:00  6] [Fatal] API.Program Running MigrateEmailTemplates migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:40.370 +01:00  6] [Fatal] API.Program Running MigrateVolumeNumber migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:40.438 +01:00  6] [Fatal] API.Program Running MigrateVolumeNumber migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:40.442 +01:00  6] [Fatal] API.Program Running MigrateWantToReadImport migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:40.456 +01:00  6] [Information] API.Program No want-to-read import file found, skipping
[Kavita] [2026-02-13 14:04:40.462 +01:00  6] [Fatal] API.Program Running MigrateWantToReadImport migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:40.491 +01:00  6] [Fatal] API.Program Running MigrateClearNightlyExternalSeriesRecords migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:40.663 +01:00  6] [Fatal] API.Program Running MigrateClearNightlyExternalSeriesRecords migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:40.678 +01:00  6] [Fatal] API.Program Running MigrateVolumeLookupName migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:40.686 +01:00  6] [Fatal] API.Program Running MigrateVolumeLookupName migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:40.701 +01:00  6] [Fatal] API.Program Running MigrateChapterNumber migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:40.844 +01:00  6] [Fatal] API.Program Running MigrateChapterNumber migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:40.870 +01:00  6] [Fatal] API.Program Running MigrateProgressExport migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:41.098 +01:00  6] [Fatal] API.Program Running MigrateProgressExport migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:41.187 +01:00  13] [Fatal] API.Program Running ManualMigrateMixedSpecials migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:41.285 +01:00  13] [Fatal] API.Program Migrating 0 progress events to new Volume structure for Specials - This may take over 10 minutes depending on size of DB. Please wait
[Kavita] [2026-02-13 14:04:41.294 +01:00  13] [Fatal] API.Program Running ManualMigrateMixedSpecials migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:41.330 +01:00  13] [Fatal] API.Program Running MigrateLooseLeafChapters migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:41.394 +01:00  13] [Fatal] API.Program Migrating 0 progress events to new Volume structure for Loose leafs - This may take over 10 minutes depending on size of DB. Please wait
[Kavita] [2026-02-13 14:04:41.403 +01:00  13] [Fatal] API.Program Running MigrateLooseLeafChapters migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:41.422 +01:00  13] [Fatal] API.Program Running MigrateChapterFields migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:41.632 +01:00  13] [Fatal] API.Program Running MigrateChapterFields migration - Updating 0 volumes that only have specials in them
[Kavita] [2026-02-13 14:04:41.842 +01:00  13] [Fatal] API.Program Running MigrateChapterFields migration - Updating 0 volumes that only have loose leaf chapters in them
[Kavita] [2026-02-13 14:04:41.843 +01:00  13] [Fatal] API.Program Running MigrateChapterFields migration - Updating all MangaFiles
[Kavita] [2026-02-13 14:04:42.036 +01:00  13] [Fatal] API.Program Running MigrateChapterFields migration - Updating 0 loose leaf chapters
[Kavita] [2026-02-13 14:04:42.043 +01:00  13] [Fatal] API.Program Running MigrateChapterFields migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:42.057 +01:00  13] [Fatal] API.Program Running MigrateChapterRange migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:42.203 +01:00  13] [Fatal] API.Program Running MigrateChapterRange migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:42.218 +01:00  13] [Fatal] API.Program Running MigrateMangaFilePath migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:42.228 +01:00  13] [Fatal] API.Program Running MigrateMangaFilePath migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:42.274 +01:00  13] [Fatal] API.Program Running MigrateLowestSeriesFolderPath migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:42.369 +01:00  13] [Fatal] API.Program Running MigrateLowestSeriesFolderPath migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:42.385 +01:00  13] [Fatal] API.Program Running ManualMigrateThemeDescription migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:42.450 +01:00  13] [Fatal] API.Program Running ManualMigrateThemeDescription migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:42.466 +01:00  13] [Fatal] API.Program Running MigrateInitialInstallData migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:42.514 +01:00  13] [Fatal] API.Program Running MigrateInitialInstallData migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:42.534 +01:00  13] [Fatal] API.Program Running MigrateSeriesLowestFolderPath migration - Please be patient, this may take some time. This is not an error
